"Rk","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
76,"Jaren Jackson Jr.",26,"MEM","C",5,5,134,8.3,16.7,0.5,1.6,5.4,0.3,6.7,11.3,0.595,0.548,5.4,6.4,0.833,0.8,6.2,7,1.6,1.3,2.1,3.2,5.4,23.6,NA
77,"Jaylen Wells",22,"MEM","SG",5,5,134,4,11.8,0.341,2.1,8.1,0.267,1.9,3.8,0.5,0.432,2.4,3.5,0.692,0.5,3.2,3.8,2.1,1.1,0,1.3,3,12.6,NA
78,"Jamal Murray",28,"DEN","PG",4,4,134,10.7,21.5,0.5,3.2,7.8,0.414,7.5,13.7,0.549,0.575,4.3,4.6,0.941,0.8,3.8,4.6,6.4,1.3,0,2.1,1.6,29,NA
79,"Domantas Sabonis",29,"SAC","C",4,4,134,6.2,12.4,0.5,0.5,2.4,0.222,5.6,9.9,0.568,0.522,0.5,1.3,0.4,3.8,11,14.8,3.5,1.3,0.3,3,4.3,13.4,NA
80,"Amen Thompson",23,"HOU","SF",4,4,134,5.9,12.9,0.458,0,2.7,0,5.9,10.2,0.579,0.458,3.8,5.4,0.7,1.6,4,5.6,5.6,1.1,0.3,2.7,3.8,15.6,NA
81,"Ajay Mitchell",23,"OKC","SG",5,0,133,9.5,20,0.473,2.2,6.2,0.348,7.3,13.8,0.529,0.527,3.5,3.5,1,1.6,3.5,5.1,4.1,1.6,0.3,1.9,4.1,24.6,NA
82,"Nic Claxton",26,"BRK","C",5,5,132,7.6,14.2,0.538,0,0.8,0,7.6,13.4,0.571,0.538,1.4,2.2,0.625,4.1,4.6,8.7,3.3,1.1,0.3,1.4,4.4,16.6,NA
83,"Kyshawn George",22,"WAS","SG",4,4,132,7.9,14.7,0.537,3.8,7.1,0.538,4.1,7.6,0.536,0.667,2.5,4.1,0.6,1.1,9,10.1,5.5,1.4,1.6,3,5.5,22.1,NA
84,"CJ McCollum",34,"WAS","PG",4,4,132,4.9,15.3,0.321,1.9,7.4,0.259,3,7.9,0.379,0.384,2.7,3.5,0.769,1.1,3,4.1,5.5,0.5,0,1.1,2.5,14.5,NA
85,"Bam Adebayo",28,"MIA","C",4,4,131,7.4,17.3,0.429,2.5,6.3,0.391,4.9,11,0.45,0.5,5.8,6.3,0.913,1.6,8.2,9.9,3,0.5,0,3.3,2.2,23.1,NA
86,"Giannis Antetokounmpo",31,"MIL","PF",4,4,131,15.7,22.5,0.695,1.1,1.9,0.571,14.6,20.6,0.707,0.72,7.4,11.5,0.643,4.4,11,15.4,7.7,0.8,1.4,3.6,2.7,39.8,NA
87,"Donovan Clingan",21,"POR","C",5,5,130,5.5,9.7,0.571,1.1,3.9,0.286,4.4,5.8,0.762,0.629,2.2,2.5,0.889,6.4,6.1,12.5,3.3,1.4,2.2,1.1,3.9,14.4,NA
88,"LaMelo Ball",24,"CHO","PG",4,4,130,9.4,21,0.447,4.7,11.9,0.395,4.7,9.1,0.515,0.559,5.5,6.9,0.8,1.9,7.2,9.1,10.5,1.9,0.3,4.4,4.2,29.1,NA
89,"Aaron Nesmith",26,"IND","SF",4,4,130,4.2,14.1,0.294,3,8.3,0.367,1.1,5.8,0.19,0.402,0.6,1.9,0.286,1.7,3.6,5.3,1.1,0,0.6,0.6,3,11.9,NA
90,"Nikola Vučević",35,"CHI","C",4,4,130,7.8,13.3,0.583,1.9,3.9,0.5,5.8,9.4,0.618,0.656,2.8,2.8,1,3.3,11.4,14.7,5.5,1.1,0.3,2.2,2.5,20.2,NA
91,"Miles Bridges",27,"CHO","SF",4,4,129,6.7,17,0.393,2.5,8.1,0.31,4.2,8.9,0.469,0.467,5,5.9,0.857,1.1,6.7,7.8,4.2,0.8,0.3,1.1,1.4,20.9,NA
92,"Jordan Poole",26,"NOP","SG",4,3,129,5.9,16.5,0.356,2.8,8.7,0.323,3.1,7.8,0.393,0.441,4.7,4.7,1,0.8,1.1,2,3.6,0.3,0.3,1.4,3.3,19.3,NA
93,"Victor Wembanyama",22,"SAS","C",4,4,129,12.3,20.4,0.603,1.1,3.1,0.364,11.2,17.3,0.645,0.63,8.9,11.2,0.8,2,13.4,15.3,3.1,1.7,5.3,1.7,3.9,34.6,NA
94,"Anthony Black",22,"ORL","PG",5,0,128,5.6,11.8,0.476,1.1,3.9,0.286,4.5,7.9,0.571,0.524,3.9,6.2,0.636,0.8,4.2,5.1,2.5,1.1,0.8,3.9,3.7,16.3,NA
95,"Kawhi Leonard",34,"LAC","SF",4,4,128,9,19.1,0.471,2,5.3,0.368,7,13.8,0.51,0.522,3.9,4.2,0.933,0.8,6.2,7,3.4,1.4,0.6,2,1.1,23.9,NA
96,"Collin Gillespie",26,"PHO","PG",5,0,127,5.7,13.6,0.417,3.7,9.9,0.371,2,3.7,0.538,0.552,0.6,0.9,0.667,1.4,3.7,5.1,7.9,2,1.1,2.3,1.1,15.6,NA
97,"Terance Mann",29,"BRK","SG",5,5,127,6.2,11.1,0.564,2,5.4,0.368,4.3,5.7,0.75,0.654,1.4,1.7,0.833,2.8,2.6,5.4,3.4,1.4,0,0.9,4.8,15.9,NA
98,"James Harden",36,"LAC","PG",4,4,127,7.1,14.5,0.49,2.8,7.9,0.357,4.3,6.5,0.652,0.588,7.1,7.7,0.926,0,5.4,5.4,9.1,1.4,0.3,4.5,2,24.1,NA
99,"Cason Wallace",22,"OKC","SG",4,4,127,3.1,9.9,0.314,1.7,6,0.286,1.4,4,0.357,0.4,0.3,0.6,0.5,0.9,3.7,4.5,4.5,2.6,0.3,1.7,2.8,8.2,NA
100,"Malik Monk",27,"SAC","SG",5,0,126,8.3,15.1,0.547,3.7,7.1,0.52,4.6,8,0.571,0.67,2,2.3,0.875,0,1.7,1.7,3.4,1.7,1.1,1.4,2.9,22.3,NA
101,"Quentin Grimes",25,"PHI","SG",4,0,126,5.7,13.4,0.426,3.7,7.7,0.481,2,5.7,0.35,0.564,5.1,6,0.857,0.6,5.1,5.7,4.3,0.9,0.6,3.1,4.3,20.3,NA
102,"Josh Giddey",23,"CHI","PG",4,4,125,7.5,16.7,0.448,1.7,4,0.429,5.8,12.7,0.455,0.5,5.8,8.1,0.714,1.4,8.4,9.8,8.9,0.6,0.6,4.6,2.3,22.5,NA
103,"Walker Kessler",24,"UTA","C",4,4,125,6.9,9.2,0.75,1.7,2.3,0.75,5.2,6.9,0.75,0.844,4,5.8,0.7,5.5,6.3,11.8,4,1.7,2.6,3.7,5.2,19.6,NA
104,"Christian Braun",24,"DEN","SG",4,4,124,5.8,11.3,0.513,0.6,2.3,0.25,5.2,9,0.581,0.538,2.3,2.3,1,2.6,2,4.6,3.2,1.2,0.3,1.2,2.9,14.5,NA
105,"Luke Kennard",29,"ATL","SG",5,0,123,4.1,7.9,0.519,2,4.4,0.467,2,3.5,0.583,0.648,1.8,2,0.857,0.9,2.3,3.2,3.5,0.9,0.3,2,2.3,12,NA
106,"Stephon Castle",21,"SAS","PG",4,4,123,7,13.5,0.522,1.5,5,0.294,5.6,8.5,0.655,0.576,5.9,10.2,0.571,1.8,5.3,7,5.6,1.5,0.3,7.3,2.9,21.4,NA
107,"Kentavious Caldwell-Pope",32,"MEM","SG",5,5,122,4.4,13,0.341,2.1,6.8,0.304,2.4,6.2,0.381,0.42,3.8,4.1,0.929,0,4.4,4.4,6.8,1.2,0.3,2.1,2.1,14.8,NA
108,"Cedric Coward",22,"MEM","SG",5,0,122,8.3,12.7,0.651,3.2,5,0.647,5,7.7,0.654,0.779,3.8,4.1,0.929,1.5,4.1,5.6,3,1.5,0.9,1.2,3.5,23.6,NA
109,"Russell Westbrook",37,"SAC","PG",5,2,122,6.2,14.8,0.42,3,6.5,0.455,3.2,8.3,0.393,0.52,2.1,3.8,0.538,2.1,5,7.1,5.6,1.8,0.3,3,2.7,17.4,NA
110,"Harrison Barnes",33,"SAS","PF",4,4,122,3.8,8.3,0.464,1.8,4.7,0.375,2.1,3.5,0.583,0.571,1.2,1.2,1,0.9,0.9,1.8,3.5,0.6,0.6,2.1,2.1,10.6,NA
111,"Jalen Johnson",24,"ATL","SF",4,4,122,9.7,16.8,0.579,0.3,2.4,0.125,9.4,14.5,0.653,0.588,4.4,5,0.882,2.4,5.9,8.3,5,1.8,0.3,2.7,3.5,24.2,NA
112,"Sam Hauser",28,"BOS","PF",5,2,121,6.2,13.7,0.457,6,13.1,0.455,0.3,0.6,0.5,0.674,0.6,0.6,1,0.6,3.9,4.5,1.2,0.6,0.6,1.8,2.4,19,NA
113,"Neemias Queta",26,"BOS","C",5,5,121,5.4,8.9,0.6,0,0.3,0,5.4,8.6,0.621,0.6,2.7,3.9,0.692,5.7,7.7,13.4,2.1,1.5,2.4,2.4,5.4,13.4,NA
114,"Tre Jones",26,"CHI","PG",4,4,121,5.4,9.2,0.581,1.5,2.4,0.625,3.9,6.8,0.565,0.661,2.7,3.6,0.75,0.9,3.3,4.2,8.9,3.6,0.3,3,2.4,14.9,NA
115,"Ben Sheppard",24,"IND","SG",4,3,120,3.6,10.5,0.343,1.2,5.7,0.211,2.4,4.8,0.5,0.4,1.8,2.4,0.75,2.1,6,8.1,3.3,0.6,0.3,1.2,4.2,10.2,NA
116,"Bub Carrington",20,"WAS","PG",4,4,119,3,8.8,0.345,1.8,2.7,0.667,1.2,6.1,0.2,0.448,1.8,2.4,0.75,0.3,4.5,4.8,4.5,1.8,0.3,1.8,3.9,9.7,NA
117,"Aaron Gordon",30,"DEN","PF",4,4,119,8.2,14.2,0.574,3.6,7,0.522,4.5,7.3,0.625,0.702,5.7,5.7,1,0.3,6.4,6.7,2.7,0.9,0.3,1.8,1.8,25.7,NA
118,"Ryan Rollins",23,"MIL","PG",4,3,119,6.1,12.7,0.476,2.1,6.1,0.35,3.9,6.7,0.591,0.56,4.2,4.2,1,1.8,2.7,4.5,5.1,3.6,0.3,2.7,3,18.5,NA
119,"Myles Turner",29,"MIL","C",4,4,119,3.6,11.5,0.316,1.5,6.7,0.227,2.1,4.8,0.438,0.382,1.2,1.8,0.667,1.2,7,8.2,3.6,0.6,3,2.1,3.3,10,NA
120,"Jarace Walker",22,"IND","PF",4,1,119,4.5,15.4,0.294,2.4,8.5,0.286,2.1,7,0.304,0.373,1.8,2.1,0.857,0.9,6.4,7.3,4.8,1.2,0.9,1.8,2.7,13.3,NA
121,"Santi Aldama",25,"MEM","PF",5,0,118,7.3,15.3,0.48,1.8,5.8,0.316,5.5,9.5,0.581,0.54,0.3,1.8,0.167,3.1,8.5,11.6,3.7,2.4,1.2,1.8,2.4,16.8,NA
122,"Naji Marshall",28,"DAL","SF",5,0,118,2.4,6.4,0.381,0,1.2,0,2.4,5.2,0.471,0.381,5.5,6.1,0.9,0.9,4.9,5.8,3.1,1.5,0,1.2,3.7,10.4,NA
123,"Kon Knueppel",20,"CHO","SF",4,3,118,7,13.4,0.523,4.9,9.2,0.533,2.1,4.3,0.5,0.705,0.6,1.2,0.5,0.6,4.6,5.2,2.4,0.6,0,2.4,3.1,19.5,NA
